make,model,colour,capacity,network,grade,condition,count
Samsung,"GALAXY MUSIC S6010",White,"Not Applicable",Unlocked,"Insurance Grade",Working,4
Samsung,"Galaxy Nexus",Grey,16GB,Unlocked,"Grade C - Acceptable Condition",Working,4
Samsung,"Galaxy Nexus",Black,16GB,Unlocked,"Grade B B2B",Working,4
Samsung,"Galaxy Nexus",Black,16GB,Unlocked,"Grade C - Acceptable Condition",Working,4
Samsung,"Galaxy Note 10.1 3G GT-N8000",Grey,16GB,Unlocked,"Insurance Grade","Brand New",4
Samsung,"Galaxy Note 10.1 3G GT-N8000",Grey,16GB,Unlocked,"Grade A - Very Good Condition",Working,4
Samsung,"Galaxy Note 10.1 3G GT-N8000",White,16GB,Damaged,"Grade A - Very Good Condition","Non-working - Need Repair - HardWare",4
Samsung,"GALAXY NOTE 10.1 BOOK COVER",Grey,"Not Applicable","Not Applicable","Brand New","Brand New",8
Samsung,"GALAXY NOTE 10.1 BOOK COVER",Black,"Not Applicable","Not Applicable","Insurance Grade",Working,4
Samsung,"Galaxy Note 10.1 N8010",White,16GB,"Not Applicable","Grade C - Acceptable Condition",Working,4
Samsung,"GALAXY NOTE 10.1 SCREEN PROTECTOR",Clear,"Not Applicable","Not Applicable","Brand New","Brand New",4
Samsung,"Galaxy Note 10.1 WiFi GT-N8010",Blue,16GB,"Not Applicable","Grade C - Acceptable Condition",Working,4
Samsung,"Galaxy Note 2 / II N7100",White,16GB,"Not Applicable","Grade C - Acceptable Condition",Non-working,4
Samsung,"Galaxy Note 2 / II N7100",Black,8GB,"Not Applicable","Grade C - Acceptable Condition",Working,8
Samsung,"Galaxy Note 2 / II N7100",Black,16GB,Unlocked,Unknown,"Non-working - Need Repair - HardWare",4
Samsung,"Galaxy Note 2 / II N7100",Grey,16GB,Unlocked,"Grade A - Very Good Condition",Working,4
Samsung,"Galaxy Note 2 N7105",White,16GB,Unlocked,Unknown,Non-working,4
Samsung,"Galaxy Note 2 N7105",White,16GB,Unlocked,"Grade A - Very Good Condition",Working,4
Samsung,"Galaxy Note 2 N7105","Black Sapphire",16GB,Unlocked,Unknown,"Non-working - Need Repair - HardWare",4
Samsung,"GALAXY NOTE 3",White,32GB,Unlocked,"Grade D",BER-Scrap,4
Samsung,"GALAXY NOTE 3",White,32GB,Unlocked,"Grade C - Acceptable Condition",Working,4
Samsung,"Galaxy Note 3 16GB N9000",Black,32GB,"Not Applicable","Grade C - Acceptable Condition",Working,8
Samsung,"Galaxy Note 3 16GB N9000",Black,32GB,"Not Applicable","Grade D",Working,4
Samsung,"Galaxy Note 3 16GB N9000",Black,32GB,"Not Applicable","Grade B B2B",Working,4
Samsung,"Galaxy Note 3 32GB",White,32GB,Unlocked,"Grade B - Good Condition",Working,4
Samsung,"Galaxy Note 3 32GB",Black,32GB,Unlocked,"Grade C - Acceptable Condition",Working,4
Samsung,"Galaxy Note 3 32GB",Black,32GB,"Not Applicable","Grade B B2B",Working,4
Samsung,"Galaxy Note 3 32GB",Black,32GB,"Not Applicable","Grade C - Acceptable Condition",Working,4
Samsung,"Galaxy Note 3 32GB",White,32GB,Unlocked,"Grade C - Acceptable Condition","Working – Minor Screen Burn",4
Samsung,"GALAXY NOTE 3 GT-N9005",Black,32GB,Unlocked,"Grade C - Acceptable Condition",Working,8
Samsung,"GALAXY NOTE 3 GT-N9005",Black,32GB,Unlocked,Unknown,"Non-working - Need Repair - HardWare",4
Samsung,"GALAXY NOTE 3 GT-N9005",White,32GB,Unlocked,"Grade A - Very Good Condition",Working,4
Samsung,"GALAXY NOTE 3 GT-N9005",White,32GB,Unlocked,"Grade B - Good Condition","Working – Minor Screen Burn",4
Samsung,"GALAXY NOTE 3 GT-N9005","Black Leather",32GB,Unlocked,Unknown,"Non-working - Need Repair - HardWare",8
Samsung,"GALAXY NOTE 3 GT-N9005","Black Leather",32GB,Unlocked,"Grade C - Acceptable Condition","Working – Minor Screen Burn",8
Samsung,"GALAXY NOTE 3 GT-N9005",White,32GB,Unlocked,Unknown,"Non-working - Need Repair - HardWare",4
Samsung,"GALAXY NOTE 3 GT-N9005","Black Leather",32GB,Unlocked,"Not Graded","Use For Parts",4
Samsung,"GALAXY NOTE 3 GT-N9005",White,32GB,Unlocked,"Grade C - Acceptable Condition","Working – Minor Screen Burn",4
Samsung,"GALAXY NOTE 3 GT-N9005","Black Leather",32GB,Three(3),Unknown,"Non-working - DeBrand And Unlock",4
Samsung,"GALAXY NOTE 3 NEO",White,16GB,Unlocked,"Grade B B2B",Working,4
Samsung,"GALAXY NOTE 3 NEO",White,16GB,Unlocked,"Grade B - Good Condition",Working,4
Samsung,"Galaxy Note 4",Gold,32GB,Unknown,"Grade B - Good Condition",Working,4
Samsung,"Galaxy Note 4",Gold,32GB,Unlocked,"Insurance Grade","Brand New",4
Samsung,"Galaxy Note 4",Black,32GB,Unlocked,"Grade B B2B",Working,4
Samsung,"Galaxy Note 4",White,32GB,Unlocked,"Insurance Grade","Brand New",4
Samsung,"Galaxy Note 4",Black,32GB,Unlocked,"Grade A - Very Good Condition",Working,4
Samsung,"Galaxy Note 4",Black,32GB,Unlocked,"Grade C - Acceptable Condition",Working,4
Samsung,"Galaxy Note 4",Black,32GB,Unlocked,"Insurance Grade","Brand New",4
Samsung,"Galaxy Note 4",White,32GB,Unlocked,Unknown,"Non-working - Need Repair - HardWare",4
Samsung,"Galaxy Note 4",Black,32GB,Unlocked,"Grade B - Good Condition",Working,8
Samsung,"Galaxy Note 4",Black,64GB,Unlocked,"Grade B - Good Condition",Working,4
Samsung,"Galaxy Note 4",Black,32GB,Unlocked,Unknown,"Non-working - Need Repair - HardWare",4
Samsung,"Galaxy Note 4",Bronze,32GB,Unlocked,"Grade B - Good Condition","Working – Minor Screen Burn",4
Samsung,"Galaxy Note 4",Black,32GB,Vodafone,"Grade C - Acceptable Condition","Working – Minor Screen Burn",4
Samsung,"Galaxy Note 4",Bronze,32GB,Unlocked,Unknown,"Non-working - Need Repair - HardWare",4
Samsung,"Galaxy Note 4","Black Leather",32GB,Unlocked,Unknown,"Non-working - Need Repair - HardWare",4
Samsung,"Galaxy Note 4",Black,32GB,Unlocked,"Grade C - Acceptable Condition","Working – Major Screen Burn",4
Samsung,"Galaxy Note 4","Charcoal Black",32GB,Unlocked,"Grade B - Good Condition",Working,4
Samsung,"Galaxy Note 4",White,32GB,Unlocked,"Grade C - Acceptable Condition","Working – Minor Screen Burn",4
Samsung,"Galaxy Note 4",White,64GB,Unlocked,"Grade B - Good Condition","Use For Parts",4
Samsung,"Galaxy Note 4",White,32GB,Unlocked,"Grade B - Good Condition",Working,4
Samsung,"Galaxy Note 4",Gold,32GB,Unlocked,"Grade B - Good Condition","Working – Minor Screen Burn",4
Samsung,"Galaxy Note 4",Black,32GB,Unlocked,"Grade B - Good Condition","Working – Minor Screen Burn",8
Samsung,"Galaxy Note 4",Black,32GB,Unlocked,"Grade C - Acceptable Condition","Working – Minor Screen Burn",4
Samsung,"Galaxy Note 4",Pink,32GB,Unlocked,"Grade C - Acceptable Condition","Working – Minor Screen Burn",4
Samsung,"GALAXY NOTE 4 - S VIEW COVER",Black,"Not Applicable","Not Applicable","Insurance Grade",Working,12
Samsung,"GALAXY NOTE 4 - S VIEW COVER",Black,"Not Applicable","Not Applicable","Brand New","Brand New",8
Samsung,"GALAXY NOTE 8",Black,64GB,Unlocked,"Brand New","Brand New",8
Samsung,"GALAXY NOTE 8",Black,64GB,Unlocked,"Grade B - Good Condition",Working,96
Samsung,"GALAXY NOTE 8",Gold,64GB,Unlocked,"Grade A - Very Good Condition",Working,28
Samsung,"GALAXY NOTE 8",Black,64GB,Unlocked,"Grade A - Very Good Condition","Use For Parts",4
Samsung,"GALAXY NOTE 8",Black,64GB,Unlocked,"Grade A - Very Good Condition",Working,112
Samsung,"GALAXY NOTE 8",Black,64GB,Unlocked,"Insurance Grade",Working,36
Samsung,"GALAXY NOTE 8",Gold,64GB,Unlocked,"Insurance Grade",Working,12
Samsung,"GALAXY NOTE 8",Black,64GB,Unlocked,"Grade C - Acceptable Condition",Working,16
Samsung,"GALAXY NOTE 8",Gold,64GB,Unlocked,"Grade B - Good Condition",Working,28
Samsung,"GALAXY NOTE 8",Gold,64GB,Unlocked,"Grade C - Acceptable Condition",Working,8
Samsung,"GALAXY NOTE 8",Black,64GB,Unlocked,Unknown,"Non-working - Need Repair - HardWare",4
Samsung,"GALAXY NOTE 8",Gold,64GB,Vodafone,Unknown,"Non-working - DeBrand And Unlock",4
Samsung,"GALAXY NOTE 8",Black,64GB,Unlocked,"Grade C - Acceptable Condition","Working – Minor Screen Burn",4
Samsung,"Galaxy Note 8.0 WiFi GT-N5110 16GB",White,16GB,"Not Applicable","Insurance Grade","Brand New",4
Samsung,"Galaxy Note 8.0 WiFi GT-N5110 16GB",White,16GB,"Not Applicable","Grade B - Good Condition",Working,4
Samsung,"GALAXY NOTE 9 TOUCH SCREEN DIGITIZER",Blue,"Not Applicable","Not Applicable","Not Graded",Working,112
Samsung,"GALAXY NOTE 9 TOUCH SCREEN DIGITIZER",Blue,"Not Applicable","Not Applicable","Grade A - Very Good Condition",Working,16
Samsung,"Galaxy Note N7000",Black,16GB,Unlocked,"Grade C - Acceptable Condition",Working,8
Samsung,"Galaxy Note N7000",White,"Not Applicable",Unlocked,"Grade C - Acceptable Condition",Working,4
Samsung,"Galaxy Note N7000",White,Unknown,Tesco-O2,"Grade D",Working,4
Samsung,"Galaxy Note N7000",White,16GB,Unlocked,"Grade B - Good Condition",Working,4
Samsung,"Galaxy Note pro 12.2 WiFi SM-P9000",White,32GB,"Not Applicable","Grade B - Good Condition","Working – Minor Screen Burn",4
Samsung,"Galaxy Pocket Neo s5310",Grey,"Not Applicable",Unlocked,"Grade D",Working,4
Samsung,"Galaxy Pocket Neo s5310",Grey,"Not Applicable",Unlocked,"Grade C - Acceptable Condition",Working,4
Samsung,"Galaxy Pocket Neo s5310",Blue,4GB,Unlocked,"Grade A - Very Good Condition",Working,4
Samsung,"Galaxy Pocket Neo s5310",Blue,"Not Applicable",NOS-Portugal,"Grade D",BER,4
Samsung,"Galaxy Pocket Neo s5310",Blue,4GB,NOS-Portugal,"Grade D","Non-working - Need Battery Cover",92
Samsung,"Galaxy Pocket Neo s5310",White,"Not Applicable",NOS-Portugal,"Grade D","Power On Tested-Good LCD",4
Samsung,"Galaxy Pocket Neo s5310",Blue,4GB,Unlocked,"Grade D",Working,36
Samsung,"Galaxy Pocket Neo s5310",Blue,"Not Applicable",NOS-Portugal,Unknown,BER,4
Samsung,"Galaxy Pocket Neo s5310","Black Sapphire",4GB,Unlocked,"Grade B - Good Condition",Working,8
Samsung,"Galaxy Pocket Neo s5310",Silver,4GB,Unlocked,"Grade C - Acceptable Condition",Working,4
Samsung,"Galaxy Pocket Neo s5310",Black,4GB,Unlocked,"Grade C - Acceptable Condition",Working,4
Samsung,"Galaxy Pocket Neo s5310",Black,4GB,NOS-Portugal,"Grade A - Very Good Condition",BER,4
Samsung,"Galaxy Pocket Neo s5310",Black,4GB,Unlocked,"Grade C - Acceptable Condition","Power On Tested-Good LCD",4
Samsung,"Galaxy Pocket Neo s5310",Blue,4GB,Unlocked,"Grade C - Acceptable Condition",Working,536
Samsung,"Galaxy Pocket Neo s5310",Black,4GB,NOS-Portugal,"Grade D","Non-working - Need Battery Cover",16
Samsung,"Galaxy Pocket Neo s5310",Black,4GB,Unlocked,"Grade D",Working,4
Samsung,"Galaxy Pocket Neo s5310",Black,"Not Applicable",NOS-Portugal,"Grade C - Acceptable Condition",BER,4
Samsung,"Galaxy Pocket Neo s5310",Blue,4GB,Unlocked,"Grade D","Power On Tested-Good LCD",4
Samsung,"Galaxy Pocket Neo s5310",Blue,4GB,Unlocked,"Grade C - Acceptable Condition","Non-working - Need Repair - HardWare",12
Samsung,"Galaxy Pocket Neo s5310",Blue,4GB,NOS-Portugal,"Grade C - Acceptable Condition","Non-working - Need Battery Cover",16
Samsung,"Galaxy Pocket Neo s5310",Blue,4GB,NOS-Portugal,Unknown,"Power On Tested-Good LCD",4
Samsung,"Galaxy Pocket Neo s5310",Blue,4GB,Unlocked,"Grade C - Acceptable Condition","Power On Tested-Good LCD",8
Samsung,"Galaxy Pocket Neo s5310",Blue,4GB,NOS-Portugal,"Grade D","Working - Need Battery Cover",4
Samsung,"Galaxy Pocket Neo s5310",Blue,4GB,NOS-Portugal,"Grade D",Working,4
Samsung,"Galaxy Pocket Neo s5310",Blue,4GB,NOS-Portugal,"Grade D",BER,4
Samsung,"Galaxy Pocket Neo s5310",Blue,4GB,NOS-Portugal,"Grade D",Non-working,4
Samsung,"Galaxy Pocket Neo s5310",Grey,2GB,Damaged,"Grade D","Power On Tested-Broken LCD",4
Samsung,"Galaxy Pocket Neo s5310",Grey,2GB,Virgin,"Grade C - Acceptable Condition","Non-working - Need Battery Cover",4
Samsung,"Galaxy Pocket Neo s5310",Grey,2GB,Unlocked,"Grade B B2B",Working,12
Samsung,"Galaxy Pocket Neo s5310",Grey,2GB,Unlocked,"Grade C - Acceptable Condition",Working,16
Samsung,"Galaxy Pocket Neo s5310",Grey,2GB,Unlocked,"Grade D",Working,4
Samsung,"Galaxy Pocket Neo s5310",Blue,"Not Applicable",Unlocked,Unknown,"Non-working - Unlock",4
Samsung,"Galaxy Pocket Neo s5310",Blue,"Not Applicable",Unlocked,Unknown,"Non-working - Repair",4
Samsung,"Galaxy Pocket Neo s5310",Blue,"Not Applicable",NOS-Portugal,"Not Graded","Non-working - DeBrand",4
Samsung,"Galaxy Pocket Neo s5310",Blue,"Not Applicable",Unlocked,"Not Graded","Non-working - DeBrand",28
Samsung,"Galaxy Pocket Neo s5310",Blue,"Not Applicable",Unlocked,"Not Graded","Non-working - Need Repair - Software",4
Samsung,"Galaxy Pocket Neo s5310","Dark Blue","Not Applicable",Unlocked,"Grade C - Acceptable Condition",Working,8
Samsung,"Galaxy Pocket Neo s5310","Dark Blue","Not Applicable",Unlocked,Unknown,Non-working,4
Samsung,"Galaxy Pocket Neo s5310","Black Sapphire",4GB,Unlocked,"Grade D",Working,4
Samsung,"Galaxy Pocket Neo s5310","Black Sapphire",4GB,Unlocked,"Grade C - Acceptable Condition","Working – Major Screen Burn",4
Samsung,"Galaxy Pocket Neo s5310","Black Sapphire",4GB,Unlocked,Unknown,Non-working,8
Samsung,"Galaxy Pocket Neo s5310","Black Sapphire",4GB,NOS-Portugal,Unknown,Non-working,4
Samsung,"Galaxy Pocket Neo s5310",Blue,4GB,Unlocked,Unknown,Non-working,12
Samsung,"Galaxy Pocket Neo s5310",Blue,4GB,Unlocked,"Grade C - Acceptable Condition","Power On Tested-Broken LCD",8
Samsung,"Galaxy Pocket Neo s5310",Blue,4GB,NOS-Portugal,Unknown,Non-working,60
Samsung,"Galaxy Pocket Neo s5310",Blue,4GB,Unlocked,"Grade C - Acceptable Condition","Working - Need Battery Cover",44
Samsung,"Galaxy Pocket Neo s5310",White,4GB,NOS-Portugal,Unknown,"Non-working - Unlock",4
Samsung,"Galaxy Pocket Neo s5310",Blue,4GB,NOS-Portugal,Unknown,"iOS 7 Locked",20
Samsung,"Galaxy Pocket Neo s5310",White,4GB,Unlocked,"Grade C - Acceptable Condition","Working - Need Battery Cover",8
Samsung,"Galaxy Pocket Neo s5310",Blue,4GB,NOS-Portugal,Unknown,"Power On Tested-Broken LCD",4
Samsung,"Galaxy Pocket Neo s5310",Blue,4GB,Unlocked,"Grade C - Acceptable Condition","Non-working - Need Battery Cover",4
Samsung,"Galaxy Pocket Neo s5310",Blue,4GB,Unlocked,"Grade C - Acceptable Condition","Non-working - Need Repair - Software",4
Samsung,"Galaxy Pocket Neo s5310",Blue,4GB,Unlocked,"Insurance Grade",Working,4
Samsung,"Galaxy Pocket Neo s5310",Blue,4GB,NOS-Portugal,"Not Graded",Working,4
Samsung,"Galaxy Pocket Neo s5310",Blue,4GB,NOS-Portugal,"Grade C - Acceptable Condition","Non-working - Need Battery Cover And Battery",8
Samsung,"Galaxy Pocket Neo s5310",Blue,4GB,NOS-Portugal,"Grade C - Acceptable Condition","Non-working - Need Battery",4
Samsung,"GALAXY POCKET PLUS S5301",Blue,2GB,Unlocked,"Grade C - Acceptable Condition","Non-working - Need Battery Cover",4
Samsung,"GALAXY POCKET PLUS S5301",Blue,2GB,Unlocked,"Grade B - Good Condition",Working,16
Samsung,"GALAXY POCKET PLUS S5301",Blue,2GB,Unlocked,"Grade D",Working,4
Samsung,"GALAXY POCKET PLUS S5301",Blue,2GB,Unlocked,"Grade C - Acceptable Condition",Working,8
Samsung,"GALAXY POCKET PLUS S5301",Black,2GB,Unlocked,"Grade B - Good Condition",Working,4
Samsung,"GALAXY POCKET PLUS S5301",White,2GB,Unlocked,"Grade C - Acceptable Condition",Working,12
Samsung,"GALAXY POCKET PLUS S5301",White,2GB,Unlocked,"Grade A - Very Good Condition",Working,4
Samsung,"GALAXY POCKET PLUS S5301",Black,"Not Applicable",Unlocked,"Insurance Grade",Working,8
Samsung,"Galaxy Pocket s5300",Black,3GB,Virgin,"Grade C - Acceptable Condition",Working,4
Samsung,"GALAXY POP PLUS S5570I",Black,"Not Applicable",Unlocked,"Grade B - Good Condition",Working,4
Samsung,"GALAXY S DUOS 2",Black,4GB,Unlocked,"Grade A - Very Good Condition",Working,8
Samsung,"GALAXY S DUOS 2",Black,4GB,Unlocked,"Insurance Grade","Brand New",52
Samsung,"GALAXY S DUOS 2",Black,4GB,Unlocked,"Grade B B2B",Working,8
Samsung,"GALAXY S DUOS 2",Black,4GB,Unlocked,"Grade C - Acceptable Condition",Working,4
Samsung,"GALAXY S DUOS 2",Black,4GB,Damaged,"Grade B - Good Condition","Non-working - Need Battery",4
Samsung,"GALAXY S DUOS 2",Blue,4GB,Unlocked,"Brand New","Brand New",4
Samsung,"GALAXY S DUOS 2",Black,4GB,NOS-Portugal,"Grade B - Good Condition","Working - Need Battery Cover",4
Samsung,"GALAXY S DUOS 2",Black,4GB,Unlocked,"Grade B B2B","Working - Need Battery Cover",4
Samsung,"GALAXY S DUOS 2",Black,4GB,"Not Applicable",Unknown,BER,4
Samsung,"GALAXY S DUOS 2",Black,4GB,NOS-Portugal,"Grade D",BER-Scrap,4
Samsung,"GALAXY S DUOS 2",Black,4GB,Unlocked,"Grade B - Good Condition",Working,4
Samsung,"GALAXY S DUOS 2",Black,4GB,NOS-Portugal,Unknown,Non-working,4
Samsung,"GALAXY S DUOS 2 (GT - S7582)",Black,4GB,NOS-Portugal,"Not Graded","Non-working - DeBrand",4
Samsung,"Galaxy S Duos S7562",Black,4GB,Damaged,"Grade B - Good Condition","Power On Tested-Good LCD",4
Samsung,"Galaxy S Duos S7562",Black,4GB,Unlocked,"Grade A - Very Good Condition",Working,4
Samsung,"Galaxy S Duos S7562",Grey,4GB,Unlocked,"Grade C - Acceptable Condition","Working – Minor Screen Burn",4
Samsung,"Galaxy S I9000",Black,8GB,Unknown,Unknown,"Power On Tested-Good LCD",4
Samsung,"Galaxy S I9000",Black,8GB,Unlocked,"Grade C - Acceptable Condition",Working,4
Samsung,"Galaxy S I9000",Black,"Not Applicable",Unknown,"Grade C - Acceptable Condition",BER,4
Samsung,"Galaxy S I9000",Black,4GB,Damaged,"Not Graded","iOS 7 Locked",4
Samsung,"Galaxy S I9000",White,16GB,Unlocked,"Grade C - Acceptable Condition","Working - Minor Issue",4
Samsung,"Galaxy S II i9100",Black,8GB,Unlocked,"Grade B - Good Condition",Working,4
Samsung,"Galaxy S II i9100",Black,16GB,Orange,"Grade B B2B",Working,4
Samsung,"Galaxy S II i9100",Black,16GB,Unlocked,"Grade B - Good Condition",Working,8
Samsung,"Galaxy S II i9100",Black,4GB,NOS-Portugal,Unknown,Non-working,4
Samsung,"Galaxy S II i9100",Black,16GB,Unlocked,"Grade B - Good Condition",BER,4
Samsung,"Galaxy S II i9100",Black,16GB,Unlocked,"Grade C - Acceptable Condition",Working,4
Samsung,"GALAXY S III MINI I8190",White,8GB,Unlocked,"Grade B - Good Condition",Working,12
Samsung,"GALAXY S III MINI I8190",White,8GB,Unlocked,"Insurance Grade","Brand New",12
Samsung,"GALAXY S III MINI I8190",White,8GB,Unlocked,"Grade C - Acceptable Condition",Working,16
Samsung,"GALAXY S III MINI I8190",White,8GB,Unlocked,"Grade A - Very Good Condition",Working,12
Samsung,"GALAXY S III MINI I8190",White,8GB,Unlocked,"Grade C - Acceptable Condition","Non-working - Need Repair - HardWare",4
Samsung,"GALAXY S III MINI I8190",White,4GB,Unlocked,"Insurance Grade","Brand New",8
Samsung,"GALAXY S III MINI I8190",White,4GB,Unlocked,"Grade A - Very Good Condition",Working,4
Samsung,"GALAXY S III MINI I8190","Pebble Blue",8GB,Unlocked,"Grade A - Very Good Condition",Working,48
Samsung,"GALAXY S III MINI I8190","Pebble Blue",8GB,Unlocked,"Grade B - Good Condition",Working,24
Samsung,"GALAXY S III MINI I8190","Pebble Blue",8GB,Unlocked,"Grade D",BER-Scrap,4
Samsung,"GALAXY S III MINI I8190",White,8GB,Unlocked,"Grade B B2B",Working,4
Samsung,"GALAXY S III MINI I8190",Blue,8GB,Unlocked,"Insurance Grade","Brand New",48
Samsung,"GALAXY S III MINI I8190",Blue,8GB,Unlocked,"Grade B - Good Condition",Working,4
Samsung,"Galaxy S2 / S II i9100G",Black,Unknown,Unlocked,"Grade C - Acceptable Condition","Non-working - Need Repair - HardWare",4
Samsung,"galaxy s2 i9100p",Black,16GB,Orange,"Grade C - Acceptable Condition",Working,4
Samsung,"galaxy s2 i9100p",Black,16GB,Orange,"Grade B B2B",Working,4
Samsung,"galaxy s2 i9100p",Black,"Not Applicable",Orange,"Grade C - Acceptable Condition",Working,4
Samsung,"galaxy s2 i9100p",Black,"Not Applicable",Orange,"Grade C - Acceptable Condition","Non-working - DeBrand And Unlock",4
Samsung,"galaxy s2 i9100p",Black,"Not Applicable",Unlocked,"Grade C - Acceptable Condition",Working,4
Samsung,"galaxy s2 i9100p",Black,32GB,Unlocked,"Grade C - Acceptable Condition","Working – Minor Screen Burn",4
Samsung,"Galaxy S2 LTE",Black,4GB,Unknown,"Grade C - Acceptable Condition",BER,4
Samsung,"Galaxy S2 LTE",Black,16GB,NOS-Portugal,Unknown,Non-working,4
Samsung,"Galaxy S2 S II i9100",Black,"Not Applicable",Unlocked,"Grade B B2B",Working,4
Samsung,"Galaxy S2 S II i9100",White,16GB,Unlocked,"Grade B - Good Condition",Working,4
Samsung,"Galaxy S2 S II i9100",Black,16GB,Unlocked,"Grade B - Good Condition",Working,16
Samsung,"Galaxy S2 S II i9100",Black,16GB,Unlocked,"Grade C - Acceptable Condition",Working,4
Samsung,"Galaxy S2 S II i9100",Black,16GB,Unlocked,"Grade B B2B",Working,4
Samsung,"Galaxy S2 S II i9100",Black,16GB,Damaged,"Not Graded",BER,4
Samsung,"Galaxy S2 S II i9100",Black,4GB,Damaged,Unknown,"Power On Tested-Broken LCD",4
Samsung,"Galaxy S2 S II i9100",Black,"Not Applicable","UK Unlocked Only","Grade B B2B",Working,4
Samsung,"Galaxy S2 S II i9100",Black,"Not Applicable",Unlocked,"Grade C - Acceptable Condition",Working,4
Samsung,"Galaxy S2 S II i9100",Black,4GB,Unlocked,"Grade B - Good Condition",BER,4
Samsung,"Galaxy S2 S II i9100",Black,2GB,Unlocked,"Grade B - Good Condition","Working - Minor Issue",4
Samsung,"Galaxy S2 S II i9100",Black,"Not Applicable",Damaged,"Grade D",BER,4
Samsung,"Galaxy S3 / S III mini i8190",Blue,8GB,Unlocked,"Grade C - Acceptable Condition",Working,8
Samsung,"Galaxy S3 / S III mini i8190",Blue,8GB,Unlocked,"Grade B - Good Condition",Working,4
Samsung,"Galaxy S3 / S III mini i8190",Black,8GB,Unlocked,"Grade C - Acceptable Condition",Working,4
Samsung,"Galaxy S3 / S III mini i8190",Blue,8GB,Unlocked,"Grade D",Working,4
Samsung,"Galaxy S3 / S III mini i8190",Black,8GB,Unlocked,"Grade A - Very Good Condition",Working,4
Samsung,"Galaxy S3 / S III mini i8190",White,8GB,Unlocked,"Grade B B2B",Working,8
Samsung,"Galaxy S3 / S III mini i8190",White,8GB,Unlocked,"Grade C - Acceptable Condition","Working - Minor Issue",76
Samsung,"Galaxy S3 / S III mini i8190",White,8GB,Unlocked,"Grade D","Working - Minor Issue",8
Samsung,"Galaxy S3 / S III mini i8190",White,8GB,Unlocked,"Grade B - Good Condition","Working - Need Battery Cover",4
Samsung,"GALAXY S3 BATTERY, 2100 MAH - EB-L1G6LLU",Black,"Not Applicable","Not Applicable","Insurance Grade","Brand New",4
Samsung,"GALAXY S3 DESKTOP DOCK - SM-EDD-D200BEGSTD",Black,"Not Applicable","Not Applicable","Brand New","Brand New",16
Samsung,"GALAXY S3 DESKTOP DOCK - SM-EDD-D200BEGSTD",Black,"Not Applicable","Not Applicable","Grade A - Very Good Condition",Working,4
Samsung,"GALAXY S3 GT-I9300",White,16GB,Damaged,Unknown,Non-working,4
Samsung,"GALAXY S3 GT-I9300",Blue,16GB,NOS-Portugal,"Grade B B2B",Working,4
Samsung,"GALAXY S3 GT-I9300",Blue,16GB,Unlocked,"Grade D",BER-Scrap,4
Samsung,"GALAXY S3 GT-I9300",Blue,16GB,Unlocked,"Grade B B2B",Working,4
Samsung,"GALAXY S3 GT-I9300",Blue,16GB,Unlocked,"Grade D",Working,4
Samsung,"GALAXY S3 GT-I9300",White,16GB,Unlocked,"Grade D",Working,4
Samsung,"GALAXY S3 GT-I9300",White,16GB,"Not Applicable","Grade D",BER-Scrap,32
Samsung,"GALAXY S3 GT-I9300",White,"Not Applicable","Not Applicable","Grade D",BER-Scrap,8
Samsung,"GALAXY S3 GT-I9300",White,16GB,"Not Applicable","Grade C - Acceptable Condition",Working,4
Samsung,"GALAXY S3 GT-I9300",White,"Not Applicable","Not Applicable","Grade B - Good Condition",BER,4
Samsung,"Galaxy S3 i9300 16GB",Blue,16GB,Unknown,"Grade D",BER-Scrap,4
Samsung,"Galaxy S3 i9300 16GB",Blue,16GB,Unlocked,"Grade C - Acceptable Condition",Working,4
Samsung,"Galaxy S3 i9300 16GB",Black,16GB,Unlocked,"Grade A - Very Good Condition",Working,4
Samsung,"Galaxy S3 i9300 16GB",Blue,16GB,Unlocked,"Grade B - Good Condition",Working,4
Samsung,"Galaxy S3 i9305",Black,16GB,Unlocked,"Grade C - Acceptable Condition","Working – Minor Screen Burn",4
Samsung,"GALAXY S3 MINI FLIP CASE COVER",Pink,"Not Applicable","Not Applicable","Insurance Grade","Brand New",4
Samsung,"GALAXY S3 MINI FLIP CASE COVER",White,"Not Applicable","Not Applicable","Grade A - Very Good Condition",Working,4
Samsung,"galaxy s3 mini gt-i8190n",Blue,8GB,Unknown,Unknown,Non-working,8
Samsung,"galaxy s3 mini gt-i8190n",White,8GB,Unlocked,"Grade C - Acceptable Condition",Working,4
Samsung,"galaxy s3 mini gt-i8190n",White,8GB,Unknown,"Grade D",BER-Scrap,12
Samsung,"galaxy s3 mini gt-i8190n",Blue,8GB,Unlocked,"Grade D",Working,84
Samsung,"galaxy s3 mini gt-i8190n",Blue,8GB,Unlocked,"Grade C - Acceptable Condition",Working,68
Samsung,"galaxy s3 mini gt-i8190n",Blue,8GB,Unlocked,"Grade B B2B",Working,24
Samsung,"galaxy s3 mini gt-i8190n",Blue,8GB,Unlocked,"Grade B - Good Condition",Working,12
Samsung,"galaxy s3 mini gt-i8190n",Blue,8GB,Unlocked,"Grade D",BER-Scrap,4
Samsung,"galaxy s3 mini gt-i8190n",Blue,8GB,Unlocked,Unknown,Working,4
Samsung,"galaxy s3 mini gt-i8190n",Blue,8GB,Unlocked,Unknown,"Power On Tested-Broken LCD",4
